Time(Seconds), RemainingCapacity(Ah) 
0.0,1.6281551122665403
1.0,1.6281551122665403
2.0,1.6281551122665403
3.0,1.6281551122665403
4.0,1.6281551122665403
5.0,1.6281551122665403
6.0,1.6281551122665403
7.0,1.6281551122665403
8.0,1.6281551122665403
9.0,1.6281551122665403
10.0,1.6281551122665403
11.0,1.6281551122665403
12.0,1.6281551122665403
13.0,1.6281551122665403
14.0,1.6281551122665403
15.0,1.6281551122665403
16.0,1.6281551122665403
17.0,1.6281551122665403
18.0,1.6281551122665403
19.0,1.6281551122665403
20.0,1.6281551122665403
21.0,1.6281551122665403
22.0,1.6281551122665403
23.0,1.6281551122665403
24.0,1.6281551122665403
25.0,1.6281551122665403
26.0,1.6281551122665403
27.0,1.6281551122665403
28.0,1.6281551122665403
29.0,1.6281551122665403
30.0,1.6281551122665403
31.0,1.6281551122665403
32.0,1.6281551122665403
33.0,1.6281551122665403
34.0,1.6281551122665403
35.0,1.6281551122665403
36.0,1.6281551122665403
37.0,1.6281551122665403
38.0,1.6281551122665403
39.0,1.6281551122665403
40.0,1.6281551122665403
41.0,1.6281551122665403
42.0,1.6281551122665403
43.0,1.6281551122665403
44.0,1.6281551122665403
45.0,1.6281551122665403
46.0,1.6281551122665403
47.0,1.6281551122665403
48.0,1.6281551122665403
49.0,1.6281551122665403
50.0,1.6281551122665403
51.0,1.6281551122665403
52.0,1.6281551122665403
53.0,1.6281551122665403
54.0,1.6281551122665403
55.0,1.6281551122665403
56.0,1.6281551122665403
57.0,1.6281551122665403
58.0,1.6281551122665403
59.0,1.6281551122665403
60.0,1.6281551122665403
61.0,1.6281551122665403
62.0,1.6281551122665403
63.0,1.6281551122665403
64.0,1.6281551122665403
65.0,1.6281551122665403
66.0,1.6281551122665403
67.0,1.6281551122665403
68.0,1.6281551122665403
69.0,1.6281551122665403
70.0,1.6281551122665403
71.0,1.6281551122665403
72.0,1.6281551122665403
73.0,1.6281551122665403
74.0,1.6281551122665403
75.0,1.6281551122665403
76.0,1.6281551122665403
77.0,1.6281551122665403
78.0,1.6281551122665403
79.0,1.6281551122665403
80.0,1.6281551122665403
81.0,1.6281551122665403
82.0,1.6281551122665403
83.0,1.6281551122665403
84.0,1.6281551122665403
85.0,1.6281551122665403
86.0,1.6281551122665403
87.0,1.6281551122665403
88.0,1.6281551122665403
89.0,1.6281551122665403
90.0,1.6281551122665403
91.0,1.6281551122665403
92.0,1.6281551122665403
93.0,1.6281551122665403
94.0,1.6281551122665403
95.0,1.6281551122665403
96.0,1.6281551122665403
97.0,1.6281551122665403
