Time [s],Damage
0.0,1
0.00025,1
0.0005,1
0.00075,1
0.001,1
0.00125,1
0.0015,1
0.00175,1
0.002,1
0.00225,1
0.0025,1
0.00275,1
0.003,1
0.00325,1
0.0035,1
0.00375,1
0.004,1
0.00425,1
0.0045,1
0.00475,1
0.005,1
0.00525,1
0.0055,1
0.00575,1
0.006,1
0.00625,1
0.0065,1
0.00675,1
0.007,1
0.00725,1
0.0075,1
0.00775,1
0.008,1
0.00825,1
0.0085,1
0.00875,1
0.009,1
0.00925,1
0.0095,1
0.00975,1
0.01,1
0.01025,1
0.0105,1
0.01075,1
0.011,1
0.01125,1
0.0115,1
0.01175,1
0.012,1
0.01225,1
0.0125,1
0.01275,1
0.013,1
0.01325,1
0.0135,1
0.01375,1
0.014,1
0.01425,1
0.0145,1
0.01475,1
0.015,1
0.01525,1
0.0155,1
0.01575,1
0.016,1
0.01625,1
0.0165,1
0.01675,1
0.017,1
0.01725,1
0.0175,1
0.01775,1
0.018,1
0.01825,1
0.0185,1
0.01875,1
0.019,1
0.01925,1
0.0195,1
0.01975,1
0.02,1
0.02025,1
0.0205,1
0.02075,1
0.021,1
0.02125,1
0.0215,1
0.02175,1
0.022,1
0.02225,1
0.0225,1
0.02275,1
0.023,1
0.02325,1
0.0235,1
0.02375,1
0.024,1
0.02425,1
0.0245,1
0.02475,1
0.025,1
0.02525,1
0.0255,1
0.02575,1
0.026,1
0.02625,1
0.0265,1
0.02675,1
0.027,1
0.02725,1
0.0275,1
0.02775,1
0.028,1
0.02825,1
0.0285,1
0.02875,1
0.029,1
0.02925,1
0.0295,1
0.02975,1
0.03,1
0.03025,1
0.0305,1
0.03075,1
0.031,1
0.03125,1
0.0315,1
0.03175,1
0.032,1
0.03225,1
0.0325,1
0.03275,1
0.033,1
0.03325,1
0.0335,1
0.03375,1
0.034,1
0.03425,1
0.0345,1
0.03475,1
0.035,1
0.03525,1
0.0355,1
0.03575,1
0.036,1
0.03625,1
0.0365,1
0.03675,1
0.037,1
0.03725,1
0.0375,1
0.03775,1
0.038,1
0.03825,1
0.0385,1
0.03875,1
0.039,1
0.03925,1
0.0395,1
0.03975,1
0.04,1
0.04025,1
0.0405,1
0.04075,1
0.041,1
0.04125,1
0.0415,1
0.04175,1
0.042,1
0.04225,1
0.0425,1
0.04275,1
0.043,1
0.04325,1
0.0435,1
0.04375,1
0.044,1
0.04425,1
0.0445,1
0.04475,1
0.045,1
0.04525,1
0.0455,1
0.04575,1
0.046,1
0.04625,1
0.0465,1
0.04675,1
0.047,1
0.04725,1
0.0475,1
0.04775,1
0.048,1
0.04825,1
0.0485,1
0.04875,1
0.049,1
0.04925,1
0.0495,1
0.04975,1
0.05,1
0.05025,1
0.0505,1
0.05075,1
0.051,1
0.05125,1
0.0515,1
0.05175,1
0.052,1
0.05225,1
0.0525,1
0.05275,1
0.053,1
0.05325,1
0.0535,1
0.05375,1
0.054,1
0.05425,1
0.0545,1
0.05475,1
0.055,1
0.05525,1
0.0555,1
0.05575,1
0.056,1
0.05625,1
0.0565,1
0.05675,1
0.057,1
0.05725,1
0.0575,1
0.05775,1
0.058,1
0.05825,1
0.0585,1
0.05875,1
0.059,1
0.05925,1
0.0595,1
0.05975,1
0.06,1
0.06025,1
0.0605,1
0.06075,1
0.061,1
0.06125,1
0.0615,1
0.06175,1
0.062,1
0.06225,1
0.0625,1
0.06275,1
0.063,1
0.06325,1
0.0635,1
0.06375,1
0.064,1
0.06425,1
0.0645,1
0.06475,1
0.065,1
0.06525,1
0.0655,1
0.06575,1
0.066,1
0.06625,1
0.0665,1
0.06675,1
0.067,1
0.06725,1
0.0675,1
0.06775,1
0.068,1
0.06825,1
0.0685,1
0.06875,1
0.069,1
0.06925,1
0.0695,1
0.06975,1
0.07,1
0.07025,1
0.0705,1
0.07075,1
0.071,1
0.07125,1
0.0715,1
0.07175,1
0.072,1
0.07225,1
0.0725,1
0.07275,1
0.073,1
0.07325,1
0.0735,1
0.07375,1
0.074,1
0.07425,1
0.0745,1
0.07475,1
0.075,1
0.07525,1
0.0755,1
0.07575,1
0.076,1
0.07625,1
0.0765,1
0.07675,1
0.077,1
0.07725,1
0.0775,1
0.07775,1
0.078,1
0.07825,1
0.0785,1
