Time [s],Damage
0.0,0.75
0.00025,0.75
0.0005,0.75
0.00075,0.75
0.001,0.75
0.00125,0.75
0.0015,0.75
0.00175,0.75
0.002,0.75
0.00225,0.75
0.0025,0.75
0.00275,0.75
0.003,0.75
0.00325,0.75
0.0035,0.75
0.00375,0.75
0.004,0.75
0.00425,0.75
0.0045,0.75
0.00475,0.75
0.005,0.75
0.00525,0.75
0.0055,0.75
0.00575,0.75
0.006,0.75
0.00625,0.75
0.0065,0.75
0.00675,0.75
0.007,0.75
0.00725,0.75
0.0075,0.75
0.00775,0.75
0.008,0.75
0.00825,0.75
0.0085,0.75
0.00875,0.75
0.009,0.75
0.00925,0.75
0.0095,0.75
0.00975,0.75
0.01,0.75
0.01025,0.75
0.0105,0.75
0.01075,0.75
0.011,0.75
0.01125,0.75
0.0115,0.75
0.01175,0.75
0.012,0.75
0.01225,0.75
0.0125,0.75
0.01275,0.75
0.013,0.75
0.01325,0.75
0.0135,0.75
0.01375,0.75
0.014,0.75
0.01425,0.75
0.0145,0.75
0.01475,0.75
0.015,0.75
0.01525,0.75
0.0155,0.75
0.01575,0.75
0.016,0.75
0.01625,0.75
0.0165,0.75
0.01675,0.75
0.017,0.75
0.01725,0.75
0.0175,0.75
0.01775,0.75
0.018,0.75
0.01825,0.75
0.0185,0.75
0.01875,0.75
0.019,0.75
0.01925,0.75
0.0195,0.75
0.01975,0.75
0.02,0.75
0.02025,0.75
0.0205,0.75
0.02075,0.75
0.021,0.75
0.02125,0.75
0.0215,0.75
0.02175,0.75
0.022,0.75
0.02225,0.75
0.0225,0.75
0.02275,0.75
0.023,0.75
0.02325,0.75
0.0235,0.75
0.02375,0.75
0.024,0.75
0.02425,0.75
0.0245,0.75
0.02475,0.75
0.025,0.75
0.02525,0.75
0.0255,0.75
0.02575,0.75
0.026,0.75
0.02625,0.75
0.0265,0.75
0.02675,0.75
0.027,0.75
0.02725,0.75
0.0275,0.75
0.02775,0.75
0.028,0.75
0.02825,0.75
0.0285,0.75
0.02875,0.75
0.029,0.75
0.02925,0.75
0.0295,0.75
0.02975,0.75
0.03,0.75
0.03025,0.75
0.0305,0.75
0.03075,0.75
0.031,0.75
0.03125,0.75
0.0315,0.75
0.03175,0.75
0.032,0.75
0.03225,0.75
0.0325,0.75
0.03275,0.75
0.033,0.75
0.03325,0.75
0.0335,0.75
0.03375,0.75
0.034,0.75
0.03425,0.75
0.0345,0.75
0.03475,0.75
0.035,0.75
0.03525,0.75
0.0355,0.75
0.03575,0.75
0.036,0.75
0.03625,0.75
0.0365,0.75
0.03675,0.75
0.037,0.75
0.03725,0.75
0.0375,0.75
0.03775,0.75
0.038,0.75
0.03825,0.75
0.0385,0.75
0.03875,0.75
0.039,0.75
0.03925,0.75
0.0395,0.75
0.03975,0.75
0.04,0.75
0.04025,0.75
0.0405,0.75
0.04075,0.75
0.041,0.75
0.04125,0.75
0.0415,0.75
0.04175,0.75
0.042,0.75
0.04225,0.75
0.0425,0.75
0.04275,0.75
0.043,0.75
0.04325,0.75
0.0435,0.75
0.04375,0.75
0.044,0.75
0.04425,0.75
0.0445,0.75
0.04475,0.75
0.045,0.75
0.04525,0.75
0.0455,0.75
0.04575,0.75
0.046,0.75
0.04625,0.75
0.0465,0.75
0.04675,0.75
0.047,0.75
0.04725,0.75
0.0475,0.75
0.04775,0.75
0.048,0.75
0.04825,0.75
0.0485,0.75
0.04875,0.75
0.049,0.75
0.04925,0.75
0.0495,0.75
0.04975,0.75
0.05,0.75
0.05025,0.75
0.0505,0.75
0.05075,0.75
0.051,0.75
0.05125,0.75
0.0515,0.75
0.05175,0.75
0.052,0.75
0.05225,0.75
0.0525,0.75
0.05275,0.75
0.053,0.75
0.05325,0.75
0.0535,0.75
0.05375,0.75
0.054,0.75
0.05425,0.75
0.0545,0.75
0.05475,0.75
0.055,0.75
0.05525,0.75
0.0555,0.75
0.05575,0.75
0.056,0.75
0.05625,0.75
0.0565,0.75
0.05675,0.75
0.057,0.75
0.05725,0.75
0.0575,0.75
0.05775,0.75
0.058,0.75
0.05825,0.75
0.0585,0.75
0.05875,0.75
0.059,0.75
0.05925,0.75
0.0595,0.75
0.05975,0.75
0.06,0.75
0.06025,0.75
0.0605,0.75
0.06075,0.75
0.061,0.75
0.06125,0.75
0.0615,0.75
0.06175,0.75
0.062,0.75
0.06225,0.75
0.0625,0.75
0.06275,0.75
0.063,0.75
0.06325,0.75
0.0635,0.75
0.06375,0.75
0.064,0.75
0.06425,0.75
0.0645,0.75
0.06475,0.75
0.065,0.75
0.06525,0.75
0.0655,0.75
0.06575,0.75
0.066,0.75
0.06625,0.75
0.0665,0.75
0.06675,0.75
0.067,0.75
0.06725,0.75
0.0675,0.75
0.06775,0.75
0.068,0.75
0.06825,0.75
0.0685,0.75
0.06875,0.75
0.069,0.75
0.06925,0.75
0.0695,0.75
0.06975,0.75
0.07,0.75
0.07025,0.75
0.0705,0.75
0.07075,0.75
0.071,0.75
0.07125,0.75
0.0715,0.75
0.07175,0.75
0.072,0.75
0.07225,0.75
0.0725,0.75
0.07275,0.75
0.073,0.75
0.07325,0.75
0.0735,0.75
0.07375,0.75
0.074,0.75
0.07425,0.75
0.0745,0.75
0.07475,0.75
0.075,0.75
0.07525,0.75
0.0755,0.75
0.07575,0.75
0.076,0.75
0.07625,0.75
0.0765,0.75
0.07675,0.75
0.077,0.75
0.07725,0.75
0.0775,0.75
0.07775,0.75
0.078,0.75
0.07825,0.75
0.0785,0.75
0.07875,0.75
0.079,0.75
0.07925,0.75
0.0795,0.75
0.07975,0.75
0.08,0.75
0.08025,0.75
0.0805,0.75
0.08075,0.75
0.081,0.75
0.08125,0.75
0.0815,0.75
0.08175,0.75
0.082,0.75
0.08225,0.75
0.0825,0.75
0.08275,0.75
0.083,0.75
0.08325,0.75
0.0835,0.75
0.08375,0.75
0.084,0.75
0.08425,0.75
0.0845,0.75
0.08475,0.75
0.085,0.75
0.08525,0.75
0.0855,0.75
0.08575,0.75
0.086,0.75
0.08625,0.75
0.0865,0.75
0.08675,0.75
0.087,0.75
0.08725,0.75
0.0875,0.75
0.08775,0.75
0.088,0.75
0.08825,0.75
0.0885,0.75
0.08875,0.75
0.089,0.75
0.08925,0.75
0.0895,0.75
0.08975,0.75
0.09,0.75
0.09025,0.75
0.0905,0.75
0.09075,0.75
0.091,0.75
0.09125,0.75
0.0915,0.75
0.09175,0.75
0.092,0.75
0.09225,0.75
0.0925,0.75
0.09275,0.75
0.093,0.75
0.09325,0.75
0.0935,0.75
0.09375,0.75
0.094,0.75
0.09425,0.75
0.0945,0.75
0.09475,0.75
0.095,0.75
0.09525,0.75
0.0955,0.75
0.09575,0.75
0.096,0.75
0.09625,0.75
0.0965,0.75
0.09675,0.75
0.097,0.75
0.09725,0.75
0.0975,0.75
0.09775,0.75
0.098,0.75
0.09825,0.75
0.0985,0.75
0.09875,0.75
0.099,0.75
0.09925,0.75
0.0995,0.75
0.09975,0.75
0.1,0.75
0.10025,0.75
0.1005,0.75
0.10075,0.75
0.101,0.75
0.10125,0.75
0.1015,0.75
0.10175,0.75
0.102,0.75
0.10225,0.75
0.1025,0.75
0.10275,0.75
0.103,0.75
0.10325,0.75
0.1035,0.75
0.10375,0.75
0.104,0.75
0.10425,0.75
0.1045,0.75
0.10475,0.75
0.105,0.75
0.10525,0.75
0.1055,0.75
0.10575,0.75
0.106,0.75
0.10625,0.75
0.1065,0.75
0.10675,0.75
0.107,0.75
0.10725,0.75
0.1075,0.75
0.10775,0.75
0.108,0.75
0.10825,0.75
0.1085,0.75
0.10875,0.75
0.109,0.75
0.10925,0.75
0.1095,0.75
0.10975,0.75
0.11,0.75
0.11025,0.75
0.1105,0.75
0.11075,0.75
0.111,0.75
0.11125,0.75
0.1115,0.75
0.11175,0.75
0.112,0.75
0.11225,0.75
