Time [s],Damage
0.00000,0
0.00025,0
0.00050,0
0.00075,0
0.00100,0
0.00125,0
0.00150,0
0.00175,0
0.00200,0
0.00225,0
0.00250,0
0.00275,0
0.00300,0
0.00325,0
0.00350,0
0.00375,0
0.00400,0
0.00425,0
0.00450,0
0.00475,0
0.00500,0
0.00525,0
0.00550,0
0.00575,0
0.00600,0
0.00625,0
0.00650,0
0.00675,0
0.00700,0
0.00725,0
0.00750,0
0.00775,0
0.00800,0
0.00825,0
0.00850,0
0.00875,0
0.00900,0
0.00925,0
0.00950,0
0.00975,0
0.01000,0
0.01025,0
0.01050,0
0.01075,0
0.01100,0
0.01125,0
0.01150,0
0.01175,0
0.01200,0
0.01225,0
0.01250,0
0.01275,0
0.01300,0
0.01325,0
0.01350,0
0.01375,0
0.01400,0
0.01425,0
0.01450,0
0.01475,0
0.01500,0
0.01525,0
0.01550,0
0.01575,0
0.01600,0
0.01625,0
0.01650,0
0.01675,0
0.01700,0
0.01725,0
0.01750,0
0.01775,0
0.01800,0
0.01825,0
0.01850,0
0.01875,0
0.01900,0
0.01925,0
0.01950,0
0.01975,0
0.02000,0
0.02025,0
0.02050,0
0.02075,0
0.02100,0
0.02125,0
0.02150,0
0.02175,0
0.02200,0
0.02225,0
0.02250,0
0.02275,0
0.02300,0
0.02325,0
0.02350,0
0.02375,0
0.02400,0
0.02425,0
0.02450,0
0.02475,0
0.02500,0
0.02525,0
0.02550,0
0.02575,0
0.02600,0
0.02625,0
0.02650,0
0.02675,0
0.02700,0
0.02725,0
0.02750,0
0.02775,0
0.02800,0
0.02825,0
0.02850,0
0.02875,0
0.02900,0
0.02925,0
0.02950,0
0.02975,0
0.03000,0
0.03025,0
0.03050,0
0.03075,0
0.03100,0
0.03125,0
0.03150,0
0.03175,0
0.03200,0
0.03225,0
0.03250,0
0.03275,0
0.03300,0
0.03325,0
0.03350,0
0.03375,0
0.03400,0
0.03425,0
0.03450,0
0.03475,0
0.03500,0
0.03525,0
0.03550,0
0.03575,0
0.03600,0
0.03625,0
0.03650,0
0.03675,0
0.03700,0
0.03725,0
0.03750,0
0.03775,0
0.03800,0
0.03825,0
0.03850,0
0.03875,0
0.03900,0
0.03925,0
0.03950,0
0.03975,0
0.04000,0
0.04025,0
0.04050,0
0.04075,0
0.04100,0
0.04125,0
0.04150,0
0.04175,0
0.04200,0
0.04225,0
0.04250,0
0.04275,0
