old_name,number,ch1,ch2,wire,load,connect,arc,start_time_s,end_time_s
20251028T170630_abbnewterm_hallrog,1,10,CWT,solidsingle,R,1,1,-0.08,0.09
20251028T171714_abbnewterm_hallrog_newcont,2,10,CWT,solidsingle,R,1,1,-0.09,0.1
20251028T172903_abbnewterm_hallrog_newcont2,3,10,CWT,solidsingle,R,1,1,-0.1,0.02
20251028T173210_abbnewterm_hallrog_rl_bigarc,4,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251028T174333_abbnewterm_hallrog_comp_arc,5,100,CWT,solidsingle,comp,1,1,-0.1,0.1
20251028T175035_abbnewterm_hallrog_comp_arc_lowsens,6,100,CWT,solidsingle,comp,1,1,-0.1,0.1
20251028T175227_abbnewterm_hallrog_comp_arc_lowsens,7,100,CWT,solidsingle,comp,1,1,-0.1,0.1
20251028T181118_abbnewterm_hallrog_comp_arc_lowsens_NOARC,8,100,CWT,solidsingle,comp,1,0,-0.1,0.1
20251028T181458_abbnewterm_hallrog_comp+res_arc_lowsens_NOARC,9,100,CWT,solidsingle,compR,1,0,-0.1,0.1
20251028T183430_eljooldcarbon_hallrog_res_NOARC_lowsens,10,10,CWT,solidsingle,R,2,0,-0.1,0.1
20251028T183846_eljooldcarbon_hallrog_res_arc_lowsens,11,10,CWT,solidsingle,R,2,1,-0.1,0.1
20251029T123959_abbwithoutdcarbon_hallrog_res1000peak_arc_lowsens,12,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T124458_abbwithoutdcarbon_hallrog_res1000peak_noarc_lowsens,13,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T124907_abbwithoutdcarbon_hallrog_res750peakarc_lowsens,14,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T125012_abbwithoutdcarbon_hallrog_res750peaknoarc_lowsens,15,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T125206_abbwithoutdcarbon_hallrog_res500peaknoarc_lowsens,16,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T125318_abbwithoutdcarbon_hallrog_res500peakarc_lowsens,17,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T125413_abbwithoutdcarbon_hallrog_res250peaknoarc_lowsens,18,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T125644_abbwithoutdcarbon_hallrog_res600peakarc_lowsens,19,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T125712_abbwithoutdcarbon_hallrog_res600peaknoarc_lowsens,20,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T125826_abbwithoutdcarbon_hallrog_res700peaknoarc_lowsens,21,10,CWT,solidsingle,R,1,0,-0.1,0.1
