name,arc,tstart,tstop
1_R_solidsingle_1_10_1,1,-0.08,0.09
2_R_solidsingle_1_10_1,1,-0.09,0.1
3_R_solidsingle_1_10_1,1,-0.1,0.02
4_R_solidsingle_1_10_1,1,-0.1,0.1
5_comp_solidsingle_1_100_1,1,-0.1,0.1
6_comp_solidsingle_1_100_1,1,-0.1,0.1
7_comp_solidsingle_1_100_1,1,-0.1,0.1
8_comp_solidsingle_1_100_0,0,-0.1,0.1
9_compR_solidsingle_1_100_0,0,-0.1,0.1
10_R_solidsingle_2_10_0,0,-0.1,0.1
11_R_solidsingle_2_10_1,1,-0.1,0.1
12_R_solidsingle_1_100_1,1,-0.1,0.1
13_R_solidsingle_1_100_0,0,-0.1,0.1
14_R_solidsingle_1_100_1,1,-0.1,0.1
15_R_solidsingle_1_100_0,0,-0.1,0.1
16_R_solidsingle_1_100_0,0,-0.1,0.1
17_R_solidsingle_1_100_1,1,-0.1,0.1
18_R_solidsingle_1_100_0,0,-0.1,0.1
19_R_solidsingle_1_100_1,1,-0.1,0.1
20_R_solidsingle_1_100_0,0,-0.1,0.1
21_R_solidsingle_1_100_0,0,-0.1,0.1
22_R_solidsingle_1_100_1,1,-0.1,0.1
23_R_solidsingle_1_100_0,0,-0.1,0.1
24_R_solidsingle_1_100_1,1,-0.1,0.1
25_R_multi_1_100_1,1,-0.1,0.1
26_R_multi_1_100_1,1,-0.1,0.1
27_R_multi_1_100_1,1,-0.1,0.1
28_R_multi_1_100_1,1,-0.1,0.1
29_R_multi_1_100_0,0,-0.1,0.1
30_RL_multi_1_100_0,0,-0.1,0.1
31_RL_multi_1_100_1,1,-0.1,0.1
32_RL_multi_1_100_1,1,-0.1,0.1
33_RL_multi_1_100_1,1,-0.1,0.1
34_RL_multi_1_100_0,0,-0.1,0.1
35_RL_multi_3_100_0,0,-0.1,0.1
36_RL_solidsingle_4_100_0,0,-0.1,0.1
37_RL_solidsingle_4_100_1,1,-0.1,0.1
38_R_solidsingle_4_100_1,1,-0.1,0.04
39_R_multi_4_100_1,1,-0.1,0.1
40_R_multi_4_100_0,0,-0.1,0.1
41_RL_multi_4_100_0,0,-0.1,0.1
42_RL_multi_4_100_1,1,-0.1,0.1
43_RL_multi_4_100_1,1,-0.1,0.1
44_RL_multi_4_100_0,0,-0.1,0.1
45_RL_multi_4_100_1,1,-0.1,0.1
46_RL_multi_4_100_0,0,-0.1,0.1
47_RL_multi_4_100_1,1,-0.1,0.1
48_R_solidsingle_5_10_1,1,-0.1,0.1
49_R_solidsingle_5_10_1,1,0.01,0.06
50_comp_solidsingle_5_100_1,1,-0.2,0.0
51_comp_solidsingle_5_100_1,1,-0.5,0.25
52_comp_solidsingle_5_100_1,1,0.0,0.06
53_R_solidsingle_6_10_1,1,-0.1,0.1
54_R_solidsingle_6_10_1,1,-0.1,0.1
55_RL_solidsingle_6_10_1,1,-0.04,0.1
56_RL_solidsingle_6_10_1,1,-0.1,0.1
57_R_solidsingle_6_10_1,1,-0.1,0.1
58_R_solidsingle_6_10_1,1,-0.1,0.0
59_R_solidsingle_6_10_1,1,-0.1,0.1
60_R_solidsingle_6_10_1,1,-0.1,0.1
61_R_solidsingle_6_10_1,1,-0.1,0.1
62_comp_solidsingle_6_100_1,1,-0.1,0.02
63_comp_solidsingle_6_100_1,1,-0.1,0.1
64_comp_solidsingle_6_100_1,1,-0.1,0.1
65_R_solidsingle_2_10_1,1,-0.1,0.1
66_R_solidsingle_2_10_1,1,-0.1,0.1
67_R_solidsingle_2_10_1,1,-0.1,0.1
68_R_solidsingle_2_10_1,1,-0.1,0.1
69_RL_solidsingle_2_10_1,1,-0.1,0.1
70_RL_solidsingle_2_10_1,1,-0.1,0.1
71_RL_solidsingle_2_10_1,1,-0.1,0.1
72_comp_solidsingle_2_100_1,1,-0.1,0.04
73_R_solidsingle_3_10_1,1,-0.05,0.1
74_R_solidsingle_3_10_0,0,-0.1,0.1
75_R_solidsingle_10_10_0,0,-0.02,0.1
76_R_solidsingle_7_10_0,0,-0.1,0.1
77_R_solidsingle_7_10_1,1,-0.1,0.1
78_R_solidsingle_7_10_1,1,-0.1,0.1
79_R_solidsingle_8_10_1,1,-0.1,0.1
80_R_solidsingle_8_10_1,1,-0.1,0.1
81_R_solidsingle_7_10_1,1,-0.02,0.08
82_R_solidsingle_7_10_0,0,-0.1,0.1
83_R_solidsingle_7_10_0,0,-0.1,0.1
84_R_solidsingle_7_10_1,1,-0.1,0.1
85_R_solidsingle_7_10_1,1,-0.1,0.1
86_R_solidsingle_7_10_1,1,-0.1,0.1
87_RL_solidsingle_7_10_0,0,-0.1,0.1
88_RL_solidsingle_7_10_1,1,-0.1,0.05
89_RL_solidsingle_7_10_1,1,-0.1,0.1
90_RL_solidsingle_7_10_1,1,-0.1,0.04
91_RL_solidsingle_7_10_1,1,-0.1,0.1
92_RL_solidsingle_7_10_1,1,-0.1,0.04
93_RL_solidsingle_9_10_0,0,-0.1,0.1
94_RL_solidsingle_9_10_0,0,-0.1,0.1
95_RL_solidsingle_9_10_0,0,-0.1,0.1
96_RL_solidsingle_9_10_0,0,-0.1,0.1
97_RL_solidsingle_9_10_0,0,-0.1,0.1
98_RL_solidsingle_9_10_0,0,-0.1,0.1
99_R_solidsingle_9_10_0,0,-0.1,0.1
100_R_solidsingle_9_10_0,0,-0.1,0.1
101_R_solidsingle_9_10_0,0,-0.1,0.1
102_R_solidsingle_9_10_0,0,-0.1,0.1
103_R_solidsingle_9_10_0,0,-0.1,0.1
104_R_solidsingle_9_10_0,0,-0.1,0.1
105_R_solidsingle_9_10_1,1,-0.03,0.1
106_R_solidsingle_9_10_1,1,-0.1,0.1
107_R_solidsingle_9_10_1,1,-0.1,0.02
108_R_solidsingle_9_10_1,1,0.0,0.1
109_R_solidsingle_9_10_1,1,-0.1,0.1
110_R_solidsingle_9_10_1,1,-0.1,0.1
111_R_solidsingle_9_10_1,1,-0.1,0.1
112_RL_solidsingle_9_10_1,1,-0.1,0.06
113_RL_solidsingle_9_10_1,1,-0.1,-0.02
114_R_solidsingle_10_10_0,0,-0.1,0.1
115_R_solidsingle_10_10_0,0,-0.1,0.1
116_R_solidsingle_10_10_0,0,-0.1,0.1
117_R_solidsingle_10_10_0,0,-0.1,0.1
118_R_solidsingle_10_10_0,0,-0.1,0.1
119_R_solidsingle_10_10_0,0,-0.1,0.1
120_R_solidsingle_10_10_1,1,-0.1,0.05
121_R_solidsingle_10_10_1,1,-0.1,0.1
122_R_solidsingle_10_10_1,1,-0.07,0.1
123_R_solidsingle_10_10_1,1,-0.07,0.1
124_R_solidsingle_10_10_1,1,-0.1,0.04
